"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6nV2dFZXpv1JlqDWBeTXRl","Holiday","spotify:artist:1nzgtKYFckznkcVMR3Gg4z","KSI","spotify:album:2FiATmtrSNjakqKjqgC6Vb","Holiday","spotify:artist:1nzgtKYFckznkcVMR3Gg4z","KSI","2021-06-18","https://i.scdn.co/image/ab67616d0000b27372823404268d604a4543c0e2","1","1","193733","https://p.scdn.co/mp3-preview/7dd7b8366336b4a4832b4b3dbdd228ab6e2a8d97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:02:17Z"
"spotify:track:49pK9QQ6zYLM8xMTliDYQl","Assault & Batteries","spotify:artist:52qKfVcIV4GS8A8Vay2xtt","Ice Nine Kills","spotify:album:4PyOq7kavqglGk3cexcygx","Welcome To Horrorwood: The Silver Scream 2","spotify:artist:52qKfVcIV4GS8A8Vay2xtt","Ice Nine Kills","2021-10-15","https://i.scdn.co/image/ab67616d0000b273eb2826b3e23703d6e1d1bd0a","1","4","208346","https://p.scdn.co/mp3-preview/9df63f5023ebe812e108456ae706a502eb63bcf0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:02:26Z"
"spotify:track:2yh1zhM5BbGNrNpSDI9hn6","Succumb","spotify:artist:2lP1T5oI2BjkLq9axMhG2o","Seven Spires","spotify:album:4NjRuEBaDQ7dZDtUe69RhA","Emerald Seas","spotify:artist:2lP1T5oI2BjkLq9axMhG2o","Seven Spires","2020-02-14","https://i.scdn.co/image/ab67616d0000b273ba8d838092be11647d85c567","1","6","234569","https://p.scdn.co/mp3-preview/1015cdbea878cce5beb8c3c86cd399d0452becbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:02:42Z"
"spotify:track:1cSO94kRdktvh9zbndRhFX","No Better","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:22YruYAHSJb8TxSmk1PBKn","No Better","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2013-12-13","https://i.scdn.co/image/ab67616d0000b2736a981f32a19835a326512f50","1","1","170838","https://p.scdn.co/mp3-preview/9f85f82bebc820afe6d4c5c7d60109089181b8f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:03:18Z"
"spotify:track:5jQI2r1RdgtuT8S3iG8zFC","Lavender Haze","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","1","1","202395","https://p.scdn.co/mp3-preview/9ccfa0ab1f504b1ac2c77af3f69a723527968440?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:03:25Z"
"spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz","Die For You","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2016-11-25","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","1","17","260253","https://p.scdn.co/mp3-preview/aaa06c48e8a91002c51916250525a80e7b5d1d31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:03:40Z"
"spotify:track:7FQhRfLwklMayNW3MC27up","bag or die","spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz","bbno$","spotify:album:4oGLasNzQCSK6V3A8ssVKY","bag or die","spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz","bbno$","2022-10-21","https://i.scdn.co/image/ab67616d0000b273d8b52e640a1a6ea619f1dc6e","1","1","118120","https://p.scdn.co/mp3-preview/c6e709e041fbce7f8e051fccdea318fa0142bea2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:03:49Z"
"spotify:track:61fQSX9Dq75oDhJbIP8v9n","Few Good Things (feat. Black Thought and Eryn Allen Kane)","spotify:artist:7Hjbimq43OgxaBRpFXic4x, spotify:artist:6DJEUXZm0e2rAohdoZ5Voo, spotify:artist:5xI4mPixKfrCCspATqbpy3","Saba, Black Thought, Eryn Allen Kane","spotify:album:4dhK1XKetMnAilmo6CMID8","Few Good Things","spotify:artist:7Hjbimq43OgxaBRpFXic4x","Saba","2022-02-04","https://i.scdn.co/image/ab67616d0000b273aac20d5f8a96a41831a10c80","1","14","428800","https://p.scdn.co/mp3-preview/584d97630e2b1942267a8cf55022e1f0dcc4af48?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:04:05Z"
"spotify:track:7s0Omwb4joRpfzAwuxZNtS","Security!","spotify:artist:6hG0VsXXlD10l60TqiIHIX","Ecco2k","spotify:album:443fOM9A1XN8A0HImpYKVT","E","spotify:artist:6hG0VsXXlD10l60TqiIHIX","Ecco2k","2019-11-27","https://i.scdn.co/image/ab67616d0000b273e49806ff277ac693976caa97","1","10","155459","https://p.scdn.co/mp3-preview/cfd7c8eb73c84b2a4f454489aa350d72f5be9f6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:04:20Z"
"spotify:track:1BzYFQWjXHLZ0c7AGJtL1Z","forever&more","spotify:artist:1dy5WNgIKQU6ezkpZs4y8z","ROLE MODEL","spotify:album:1PhcZ4Ov6ZxuaUZF8r9rbk","Rx","spotify:artist:1dy5WNgIKQU6ezkpZs4y8z","ROLE MODEL","2022-04-08","https://i.scdn.co/image/ab67616d0000b273cddfd12bb155ad1091d6eea4","1","3","176440","https://p.scdn.co/mp3-preview/800d24457e4d51547ff34ef00b126df49f21137b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T15:04:51Z"
