"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3S7HNKPakdwNEBFIVTL6dZ","Treacherous (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:6kZ42qRrzov54LcAk4onW9","Red (Taylor's Version)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2021-11-12","https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d","1","3","242720","https://p.scdn.co/mp3-preview/6752b5cd003d27171f45f48b15d6983cef937d33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:rachelchaetx","2022-11-30T15:05:15Z"
"spotify:track:1BncfTJAWxrsxyT9culBrj","Experience","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj, spotify:artist:59r5UU2HOytn9V5uMZ5Vur, spotify:artist:1k1AM2ESRQseVAj6rvBdtx","Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani","spotify:album:3uJ6D2WOPdjwJ0SrsH9EiG","In A Time Lapse","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2013-01-01","https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5","1","12","315426","https://p.scdn.co/mp3-preview/027834b602fc1115f07c050c249f04ebcea9c09f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:rachelchaetx","2022-11-30T15:05:22Z"
"spotify:track:6sfHKJONnRKTyvS9jq1LRH","Party Life","spotify:artist:360IAlyVv4PCEVjgyMZrxK","Miguel","spotify:album:24dQJx8ZE0jgvFPberEWjv","Art Dealer Chic 3","spotify:artist:360IAlyVv4PCEVjgyMZrxK","Miguel","2021-03-26","https://i.scdn.co/image/ab67616d0000b273b19bd1645af912704a495a2c","1","1","204000","https://p.scdn.co/mp3-preview/868f978db15a4c738ab2385c6516b6b081d5ee6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:rachelchaetx","2022-11-30T15:05:29Z"
"spotify:track:4j5zq53Fyu84lmY6UYO8yW","Dreams","spotify:artist:157L8iTHgbdrKVxdQEXluh","Lost Sky","spotify:album:5qQgoVCtIoessL2xXUO6DX","Dreams","spotify:artist:157L8iTHgbdrKVxdQEXluh","Lost Sky","2018-07-27","https://i.scdn.co/image/ab67616d0000b273af2ef434c7c9986f74aea1a3","1","1","215176","https://p.scdn.co/mp3-preview/294febbfe5d330cd3a04d95bb87ee38595e027ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:rachelchaetx","2022-11-30T15:05:38Z"
"spotify:track:5GpEHUNI0T7L7H3DnAaBXh","reckless driving","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS, spotify:artist:6Lx82nbEVfeTfEa4yT01Jo","Lizzy McAlpine, Ben Kessler","spotify:album:68L5xVV9wydotfDXEik7eD","five seconds flat","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","2022-04-08","https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3","1","6","189247","https://p.scdn.co/mp3-preview/790b29b6e4e59282ef5582345c03d5a4c381adb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:rachelchaetx","2022-11-30T15:05:46Z"
"spotify:track:4Jt5UkcyYL261tokw058x0","England (The Medieval Era)","spotify:artist:1OFCjpSAsyIOWWzIAYb3OI","Geoff Knorr","spotify:album:6ERIx2c5kFBBFj6CEI7BWd","Sid Meier's Civilization VI (Original Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-10-21","https://i.scdn.co/image/ab67616d0000b273802cb59258d4b155fe13799b","1","14","249152","https://p.scdn.co/mp3-preview/b2bb024a55e7952a8a0e36ec6cbe2f33b6ddf1bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:rachelchaetx","2022-11-30T15:06:16Z"
"spotify:track:0iWxrdjwEGOrTC9AszgAJk","Viendo el Techo","spotify:artist:2cPqdH7XMvwaBJEVjheH8g","Jay Wheeler","spotify:album:4ikugcbfJKooYlQACL2MUN","Viendo el Techo","spotify:artist:2cPqdH7XMvwaBJEVjheH8g","Jay Wheeler","2021-04-09","https://i.scdn.co/image/ab67616d0000b2733c7c8905b2e91c14280d87c6","1","1","188954","https://p.scdn.co/mp3-preview/f472e5a5d9182eaab54df2d3de87a5a395b77fc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:rachelchaetx","2022-11-30T15:06:29Z"
"spotify:track:2kkvB3RNRzwjFdGhaUA0tz","Layla","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","spotify:album:5iIWnMgvSM8uEBwXKsPcXM","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","1970-11-01","https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc","1","13","423840","https://p.scdn.co/mp3-preview/2ac19b13231acf3242c44f3c49cd2fbb6269169b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:rachelchaetx","2022-11-30T15:06:39Z"
"spotify:track:5AnZGhVpAit04ocwEbzy04","T'Challa","spotify:artist:24eDfi2MSYo3A87hCcgpIL","Ludwig Goransson","spotify:album:2lPz7qiqG7TfvKr3S1Lv6p","Black Panther: Wakanda Forever (Original Score)","spotify:artist:24eDfi2MSYo3A87hCcgpIL","Ludwig Goransson","2022-11-11","https://i.scdn.co/image/ab67616d0000b2739fea69fa5744e3ae99d29374","1","26","85026","https://p.scdn.co/mp3-preview/50f7787ba03adef777807e3b6e0afd46effeb120?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:rachelchaetx","2022-11-30T15:06:55Z"
"spotify:track:67r7ZHxVxONN9ZQk05AQVL","Do you miss me?","spotify:artist:78rUTD7y6Cy67W1RVzYs7t","PinkPantheress","spotify:album:3Mp1zB42F2yqqOMEep7R3k","Do you miss me?","spotify:artist:78rUTD7y6Cy67W1RVzYs7t","PinkPantheress","2022-11-15","https://i.scdn.co/image/ab67616d0000b273f9c9812c775bdb0e9c70d5f1","1","1","128853","https://p.scdn.co/mp3-preview/5c006d287cc8af5a0f757c0b13039b037c06b68b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:rachelchaetx","2022-11-30T15:07:18Z"
"spotify:track:2jRKOHOLv8b60sy6ypdUIk","Rain on Brick","spotify:artist:6jYO2wnv847jRUsA7dciSs","Bill Kiley","spotify:album:23KCp1w3aJeKdMrqcyodWK","Katana Zero (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-04-18","https://i.scdn.co/image/ab67616d0000b273d3c12724ab66f21170225d22","1","14","84240","https://p.scdn.co/mp3-preview/feadda836645a81ecfa60b8aac7f97785d4d7fba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:rachelchaetx","2022-11-30T15:07:29Z"
"spotify:track:5IcCUx9Zl1VfdSlo5B4Dkt","CRUCIFY ME","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:0EICXG4UBIAUOKVlfBGipA","TM","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2022-11-18","https://i.scdn.co/image/ab67616d0000b2731e816be3575d007cc77bac94","1","8","262013","https://p.scdn.co/mp3-preview/662c391c6d20422821413fcf0061ad922c6e858a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:rachelchaetx","2022-11-30T15:07:39Z"
"spotify:track:5DiXRd8Ag670TymbrjbC5P","Possum Springs","spotify:artist:2msAsizgFUJio7s8sgme16","Alec Holowka","spotify:album:0f0tXQKGvvaYRsVZrzr4O8","Night in the Woods (Original Soundtrack, Vol. 1) [At the End of Everything]","spotify:artist:2msAsizgFUJio7s8sgme16","Alec Holowka","2017-02-21","https://i.scdn.co/image/ab67616d0000b273c1ae29bb5e7e53c17b4a4fd8","1","22","320192","https://p.scdn.co/mp3-preview/5206e275d6003516df5741d3be5d3e20f4cc23b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:rachelchaetx","2022-11-30T15:07:53Z"
"spotify:track:6u4alUtWbsXjZQy9IfHd0r","Mia and Sebastian's Theme","spotify:artist:0HSGaSAaBPZJq4lisoWA59","Kyle Landry","spotify:album:4D7Vgf1RBArExObedXmgMO","Mia and Sebastian's Theme","spotify:artist:0HSGaSAaBPZJq4lisoWA59","Kyle Landry","2017-03-23","https://i.scdn.co/image/ab67616d0000b2735972db9ff101cfbf460bee2b","1","1","246108","https://p.scdn.co/mp3-preview/eafe2f4a836d5078db4f8be2f7b0b744d7849bd5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:rachelchaetx","2022-11-30T15:09:32Z"
"spotify:track:7m2yB31BZmG5Q5eP1sxdjO","Talk to You","spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw","Ricky Montgomery","spotify:album:6suTADibkHRNH8K4Up3xec","It's 2016 Somewhere","spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw","Ricky Montgomery","2022-04-15","https://i.scdn.co/image/ab67616d0000b2739cc1de6c4ff1f2226beb49e2","1","2","214724","https://p.scdn.co/mp3-preview/270a4016d358a07e115a96ae8ff598989511b76e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:rachelchaetx","2022-11-30T15:09:40Z"
"spotify:track:4nnH8sda1dI3hxWw5MXIMS","Wallowa Lake Monster","spotify:artist:4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens","spotify:album:4UfROvC2nwNTssfJmlcYw2","The Greatest Gift","spotify:artist:4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens","2017-11-24","https://i.scdn.co/image/ab67616d0000b273d1a261d47b013292113441b2","1","1","412174","https://p.scdn.co/mp3-preview/04b09385f7fffb40875d83ccc7b2ace6a89f257d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:rachelchaetx","2022-11-30T15:09:55Z"
"spotify:track:3vZGtceCbJVh5aDT4XhE0p","2AM","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:6FKP2O0oOvZlDkF0gyTjiJ","Ctrl (Deluxe)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-06-09","https://i.scdn.co/image/ab67616d0000b2731882add8fd275c04e322027d","1","16","242823","https://p.scdn.co/mp3-preview/55e75e51e7877901aaf9f0822860e9cdffb02d3b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:rachelchaetx","2022-11-30T15:10:04Z"
"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Midnight Rain","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","1","6","174782","https://p.scdn.co/mp3-preview/df1caeeff164bcf376f418ce9c5aa5c71645cc79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","spotify:user:rachelchaetx","2022-11-30T15:10:32Z"
"spotify:track:0sY6ZUTh4yoctD8VIXz339","champagne problems","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2Xoteh7uEpea4TohMxjtaq","evermore","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2020-12-11","https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be","1","2","244000","https://p.scdn.co/mp3-preview/ff00449b64321baa4ba610252a4915d1d8b407ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","spotify:user:rachelchaetx","2022-11-30T15:10:40Z"
"spotify:track:0fCwTrRNfoNk962ati8n2K","All Your'n","spotify:artist:13ZEDW6vyBF12HYcZRr4EV","Tyler Childers","spotify:album:2T9P5dSm786uuxA5tkI1Xb","Country Squire","spotify:artist:13ZEDW6vyBF12HYcZRr4EV","Tyler Childers","2019-08-02","https://i.scdn.co/image/ab67616d0000b273d41fec800fa501c5bc623083","1","8","218280","https://p.scdn.co/mp3-preview/68100bbf791a2d80503e550152adfaf3a3470288?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:rachelchaetx","2022-11-30T15:11:04Z"
"spotify:track:1cXUBEPAYgiO5atA7lVxqp","I Believed It (8-Bit Dvsn, Mac Miller & Ty Dolla Sign Emulation)","spotify:artist:21VBNkZvKxrI9zmfFRxXvn","8-Bit Arcade","spotify:album:7madNyekbLiwHE65FWbOph","By Request, Vol. 141","spotify:artist:21VBNkZvKxrI9zmfFRxXvn","8-Bit Arcade","2021-07-28","https://i.scdn.co/image/ab67616d0000b273c86f237a73665bbde6857a1f","1","26","160194","https://p.scdn.co/mp3-preview/dd3999285ac48a66d6e3d56e6f4d2f3328b6ae2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:rachelchaetx","2022-11-30T15:12:00Z"
"spotify:track:7eqoqGkKwgOaWNNHx90uEZ","Nights","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2016-08-20","https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526","1","9","307151","https://p.scdn.co/mp3-preview/c714ddeded011a51a83255cae76419e7545ead49?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","spotify:user:rachelchaetx","2022-11-30T15:12:08Z"
"spotify:track:1K1nzhbKCNmrNXi9B07mPF","Forever In Blue Jeans","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","spotify:album:4ufmoUiQbFCyWUM5OVtdsm","You Don't Bring Me Flowers","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","1978-12-16","https://i.scdn.co/image/ab67616d0000b27334b9a6b282fb02bb2cc950f9","1","2","217533","https://p.scdn.co/mp3-preview/5ad7faf52f7f7c522e9a0e8e66ddc1b594fea67e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:rachelchaetx","2022-11-30T15:12:16Z"
"spotify:track:45PSzxeTQD0X1OZEypGSgH","Oblivion","spotify:artist:0hAd6zwEgt9ILuMDY1prcI","Palaye Royale","spotify:album:4UChZRTVQgPn9AZSak3X4h","Fever Dream","spotify:artist:0hAd6zwEgt9ILuMDY1prcI","Palaye Royale","2022-10-28","https://i.scdn.co/image/ab67616d0000b273ba4846438180facd6b6935a8","1","11","316501","https://p.scdn.co/mp3-preview/270ecb81035bf0ad10536ae1556e724c30b22611?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:rachelchaetx","2022-11-30T15:12:23Z"
"spotify:track:1fvvGeseey7524OMwo7b2P","Transcendental Youth","spotify:artist:3hyGGjxu73JuzBa757H6R5","The Mountain Goats","spotify:album:1AOcKK0PoTQtuRZVhOgJlp","Transcendental Youth","spotify:artist:3hyGGjxu73JuzBa757H6R5","The Mountain Goats","2012-10-02","https://i.scdn.co/image/ab67616d0000b273c44912851256fbad80096bd3","1","12","250400","https://p.scdn.co/mp3-preview/7339d09fc37d2957bcf5e194835f50ce98471247?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:rachelchaetx","2022-11-30T15:12:33Z"
"spotify:track:1QlTNF43OyKK9BorIRsJ8o","Autumn Leaves","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:3Cnj43AyRQy21WQWsngNDs","Jazz Moods - Cool","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1974","https://i.scdn.co/image/ab67616d0000b2733e4457449e2f1b31de4d45e7","1","3","422640","https://p.scdn.co/mp3-preview/1fc10b81d30dca556bfef90691ef6c87d58b322e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:rachelchaetx","2022-11-30T15:12:40Z"
"spotify:track:188rKyWMsC4WsKKZ85lnUO","Hold No Grudge - Bonus Track","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:3lK2JRwfIOn2NaYtgEGTmZ","Solar Power (Deluxe Edition)","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2021-11-05","https://i.scdn.co/image/ab67616d0000b273a5603d487cfa2c30a05cdfaa","1","14","268733","https://p.scdn.co/mp3-preview/8671f28a253e1787b9857fc4d94a3ce567df45c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","spotify:user:rachelchaetx","2022-11-30T15:12:46Z"
"spotify:track:1UlwFwRrb4Kth3TwnjBAJV","Country Boy's Dream Girl","spotify:artist:6BRxQ8cD3eqnrVj6WKDok8","Ella Langley","spotify:album:6M7Cnkdd1zqazDkHJxHxPJ","Country Boy's Dream Girl","spotify:artist:6BRxQ8cD3eqnrVj6WKDok8","Ella Langley","2022-10-28","https://i.scdn.co/image/ab67616d0000b2733bd5673b1529be0a4b720ed3","1","1","183906","https://p.scdn.co/mp3-preview/1247d0a9e00bb6b8a54f88e6d2bb6686fd5d8cd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:rachelchaetx","2022-11-30T15:12:53Z"
"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Midnight Rain","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","1","6","174782","https://p.scdn.co/mp3-preview/df1caeeff164bcf376f418ce9c5aa5c71645cc79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","spotify:user:rachelchaetx","2022-11-30T15:12:59Z"
"spotify:track:4i9zZb6mPKfQRXRb5HKjSw","STAR CITY CAFE","spotify:artist:7gnhLu1Gs5WaOuOPnFm9js, spotify:artist:6Xc67JjMWqV5DcfFXzUWPS","hevel, Evito","spotify:album:3rXWqDy5oHdBqEF0kmgf9z","STAR CITY CAFE","spotify:artist:7gnhLu1Gs5WaOuOPnFm9js, spotify:artist:6Xc67JjMWqV5DcfFXzUWPS","hevel, Evito","2020-10-23","https://i.scdn.co/image/ab67616d0000b273432a2a7c960fb27a8e88c3bc","1","1","139780","https://p.scdn.co/mp3-preview/40c7e54fb52c9d632a4b71180ef1a29afd719f9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:rachelchaetx","2022-11-30T15:13:07Z"
"spotify:track:3HADujGRM9QmUQiq5i0K1x","Midnight","spotify:artist:6QrRSfwkZsixVIgDRhpToh, spotify:artist:60k4atxgEIMFz4DWHp0le1","Ian Ewing, Braxton Cook","spotify:album:2IhqHm2NikO5x3CTtGKcIA","Always Home","spotify:artist:6QrRSfwkZsixVIgDRhpToh","Ian Ewing","2019-09-09","https://i.scdn.co/image/ab67616d0000b273f9d6f74d1d6130878e7016c6","1","2","220312","https://p.scdn.co/mp3-preview/e1068855db5c254074fe5b1a38cb4338de4ce3f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:rachelchaetx","2022-11-30T15:13:14Z"
"spotify:track:6UFivO2zqqPFPoQYsEMuCc","Bags","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","spotify:album:4kkVGtCqE2NiAKosri9Rnd","Immunity","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2019-08-02","https://i.scdn.co/image/ab67616d0000b27333ccb60f9b2785ef691b2fbc","1","5","260519","https://p.scdn.co/mp3-preview/0111c950acbcb35c2a9f4000eee8fde7836747bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:rachelchaetx","2022-11-30T15:13:23Z"
"spotify:track:0dSXFiK5FccucA4wo3ZVpe","All For Us","spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:6sCbFbEjbYepqswM1vWjjs","Labrinth, Zendaya","spotify:album:0FSsRH1jeZqKbGcHwq3UO0","Imagination & the Misfit Kid","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","2019-11-22","https://i.scdn.co/image/ab67616d0000b273e4c03429788f0aff263a5fc6","1","6","191710","https://p.scdn.co/mp3-preview/7f9deb4a86f1bfc2ec1899a691f51d3a02847b8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:rachelchaetx","2022-11-30T15:13:45Z"
